rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1 ;1 20 ;2 400 ;3 8902 ;4 197281 ;5 4865609 ;6 119060324
K7/p7/k7/8/8/8/8/8 w - - 0 1 ;1 1 ;2 3 ;3 12 ;4 80 ;5 342 ;6 2343
7K/7p/7k/8/8/8/8/8 w - - 0 1 ;1 1 ;2 3 ;3 12 ;4 80 ;5 342 ;6 2343
8/2k1p3/3pP3/3P2K1/8/8/8/8 w - - 0 1 ;1 7 ;2 35 ;3 210 ;4 1091 ;5 7028 ;6 34834
8/8/8/8/8/K7/P7/k7 b - - 0 1 ;1 1 ;2 3 ;3 12 ;4 80 ;5 342 ;6 2343
8/8/8/8/8/7K/7P/7k b - - 0 1 ;1 1 ;2 3 ;3 12 ;4 80 ;5 342 ;6 2343
K7/p7/k7/8/8/8/8/8 b - - 0 1 ;1 3 ;2 7 ;3 43 ;4 199 ;5 1347 ;6 6249
7K/7p/7k/8/8/8/8/8 b - - 0 1 ;1 3 ;2 7 ;3 43 ;4 199 ;5 1347 ;6 6249
8/2k1p3/3pP3/3P2K1/8/8/8/8 b - - 0 1 ;1 5 ;2 35 ;3 182 ;4 1091 ;5 5408 ;6 34822
8/8/8/8/8/4k3/4P3/4K3 w - - 0 1 ;1 2 ;2 8 ;3 44 ;4 282 ;5 1814 ;6 11848
4k3/4p3/4K3/8/8/8/8/8 b - - 0 1 ;1 2 ;2 8 ;3 44 ;4 282 ;5 1814 ;6 11848
8/8/7k/7p/7P/7K/8/8 w - - 0 1 ;1 3 ;2 9 ;3 57 ;4 360 ;5 1969 ;6 10724
8/8/k7/p7/P7/K7/8/8 w - - 0 1 ;1 3 ;2 9 ;3 57 ;4 360 ;5 1969 ;6 10724
8/8/3k4/3p4/3P4/3K4/8/8 w - - 0 1 ;1 5 ;2 25 ;3 180 ;4 1294 ;5 8296 ;6 53138
8/3k4/3p4/8/3P4/3K4/8/8 w - - 0 1 ;1 8 ;2 61 ;3 483 ;4 3213 ;5 23599 ;6 157093
8/8/3k4/3p4/8/3P4/3K4/8 w - - 0 1 ;1 8 ;2 61 ;3 411 ;4 3213 ;5 21637 ;6 158065
k7/8/3p4/8/3P4/8/8/7K w - - 0 1 ;1 4 ;2 15 ;3 90 ;4 534 ;5 3450 ;6 20960
8/8/7k/7p/7P/7K/8/8 b - - 0 1 ;1 3 ;2 9 ;3 57 ;4 360 ;5 1969 ;6 10724
8/8/k7/p7/P7/K7/8/8 b - - 0 1 ;1 3 ;2 9 ;3 57 ;4 360 ;5 1969 ;6 10724
8/8/3k4/3p4/3P4/3K4/8/8 b - - 0 1 ;1 5 ;2 25 ;3 180 ;4 1294 ;5 8296 ;6 53138
8/3k4/3p4/8/3P4/3K4/8/8 b - - 0 1 ;1 8 ;2 61 ;3 411 ;4 3213 ;5 21637 ;6 158065
8/8/3k4/3p4/8/3P4/3K4/8 b - - 0 1 ;1 8 ;2 61 ;3 483 ;4 3213 ;5 23599 ;6 157093
k7/8/3p4/8/3P4/8/8/7K b - - 0 1 ;1 4 ;2 15 ;3 89 ;4 537 ;5 3309 ;6 21104
7k/3p4/8/8/3P4/8/8/K7 w - - 0 1 ;1 4 ;2 19 ;3 117 ;4 720 ;5 4661 ;6 32191
7k/8/8/3p4/8/8/3P4/K7 w - - 0 1 ;1 5 ;2 19 ;3 116 ;4 716 ;5 4786 ;6 30980
k7/8/8/7p/6P1/8/8/K7 w - - 0 1 ;1 5 ;2 22 ;3 139 ;4 877 ;5 6112 ;6 41874
k7/8/7p/8/8/6P1/8/K7 w - - 0 1 ;1 4 ;2 16 ;3 101 ;4 637 ;5 4354 ;6 29679
k7/8/8/6p1/7P/8/8/K7 w - - 0 1 ;1 5 ;2 22 ;3 139 ;4 877 ;5 6112 ;6 41874
k7/8/6p1/8/8/7P/8/K7 w - - 0 1 ;1 4 ;2 16 ;3 101 ;4 637 ;5 4354 ;6 29679
k7/8/8/3p4/4p3/8/8/7K w - - 0 1 ;1 3 ;2 15 ;3 84 ;4 573 ;5 3013 ;6 22886
k7/8/3p4/8/8/4P3/8/7K w - - 0 1 ;1 4 ;2 16 ;3 101 ;4 637 ;5 4271 ;6 28662
7k/3p4/8/8/3P4/8/8/K7 b - - 0 1 ;1 5 ;2 19 ;3 117 ;4 720 ;5 5014 ;6 32167
7k/8/8/3p4/8/8/3P4/K7 b - - 0 1 ;1 4 ;2 19 ;3 117 ;4 712 ;5 4658 ;6 30749
k7/8/8/7p/6P1/8/8/K7 b - - 0 1 ;1 5 ;2 22 ;3 139 ;4 877 ;5 6112 ;6 41874
k7/8/7p/8/8/6P1/8/K7 b - - 0 1 ;1 4 ;2 16 ;3 101 ;4 637 ;5 4354 ;6 29679
k7/8/8/6p1/7P/8/8/K7 b - - 0 1 ;1 5 ;2 22 ;3 139 ;4 877 ;5 6112 ;6 41874
k7/8/6p1/8/8/7P/8/K7 b - - 0 1 ;1 4 ;2 16 ;3 101 ;4 637 ;5 4354 ;6 29679
k7/8/8/3p4/4p3/8/8/7K b - - 0 1 ;1 5 ;2 15 ;3 102 ;4 569 ;5 4337 ;6 22579
k7/8/3p4/8/8/4P3/8/7K b - - 0 1 ;1 4 ;2 16 ;3 101 ;4 637 ;5 4271 ;6 28662
7k/8/8/p7/1P6/8/8/7K w - - 0 1 ;1 5 ;2 22 ;3 139 ;4 877 ;5 6112 ;6 41874
7k/8/p7/8/8/1P6/8/7K w - - 0 1 ;1 4 ;2 16 ;3 101 ;4 637 ;5 4354 ;6 29679
7k/8/8/1p6/P7/8/8/7K w - - 0 1 ;1 5 ;2 22 ;3 139 ;4 877 ;5 6112 ;6 41874
7k/8/1p6/8/8/P7/8/7K w - - 0 1 ;1 4 ;2 16 ;3 101 ;4 637 ;5 4354 ;6 29679
k7/7p/8/8/8/8/6P1/K7 w - - 0 1 ;1 5 ;2 25 ;3 161 ;4 1035 ;5 7574 ;6 55338
k7/6p1/8/8/8/8/7P/K7 w - - 0 1 ;1 5 ;2 25 ;3 161 ;4 1035 ;5 7574 ;6 55338
3k4/3pp3/8/8/8/8/3PP3/3K4 w - - 0 1 ;1 7 ;2 49 ;3 378 ;4 2902 ;5 24122 ;6 199002
7k/8/8/p7/1P6/8/8/7K b - - 0 1 ;1 5 ;2 22 ;3 139 ;4 877 ;5 6112 ;6 41874
7k/8/p7/8/8/1P6/8/7K b - - 0 1 ;1 4 ;2 16 ;3 101 ;4 637 ;5 4354 ;6 29679
7k/8/8/1p6/P7/8/8/7K b - - 0 1 ;1 5 ;2 22 ;3 139 ;4 877 ;5 6112 ;6 41874
7k/8/1p6/8/8/P7/8/7K b - - 0 1 ;1 4 ;2 16 ;3 101 ;4 637 ;5 4354 ;6 29679
k7/7p/8/8/8/8/6P1/K7 b - - 0 1 ;1 5 ;2 25 ;3 161 ;4 1035 ;5 7574 ;6 55338
k7/6p1/8/8/8/8/7P/K7 b - - 0 1 ;1 5 ;2 25 ;3 161 ;4 1035 ;5 7574 ;6 55338
3k4/3pp3/8/8/8/8/3PP3/3K4 b - - 0 1 ;1 7 ;2 49 ;3 378 ;4 2902 ;5 24122 ;6 199002
8/Pk6/8/8/8/8/6Kp/8 w - - 0 1 ;1 11 ;2 97 ;3 887 ;4 8048 ;5 90606 ;6 1030499
n1n5/1Pk5/8/8/8/8/5Kp1/5N1N w - - 0 1 ;1 24 ;2 421 ;3 7421 ;4 124608 ;5 2193768 ;6 37665329
8/PPPk4/8/8/8/8/4Kppp/8 w - - 0 1 ;1 18 ;2 270 ;3 4699 ;4 79355 ;5 1533145 ;6 28859283
n1n5/PPPk4/8/8/8/8/4Kppp/5N1N w - - 0 1 ;1 24 ;2 496 ;3 9483 ;4 182838 ;5 3605103 ;6 71179139
8/Pk6/8/8/8/8/6Kp/8 b - - 0 1 ;1 11 ;2 97 ;3 887 ;4 8048 ;5 90606 ;6 1030499
n1n5/1Pk5/8/8/8/8/5Kp1/5N1N b - - 0 1 ;1 24 ;2 421 ;3 7421 ;4 124608 ;5 2193768 ;6 37665329
8/PPPk4/8/8/8/8/4Kppp/8 b - - 0 1 ;1 18 ;2 270 ;3 4699 ;4 79355 ;5 1533145 ;6 28859283
n1n5/PPPk4/8/8/8/8/4Kppp/5N1N b - - 0 1 ;1 24 ;2 496 ;3 9483 ;4 182838 ;5 3605103 ;6 71179139
3k4/3p4/8/K1P4r/8/8/8/8 b - - 0 1; 6 1134888
8/8/4k3/8/2p5/8/B2P2K1/8 w - - 0 1; 6 1015133
8/8/1k6/2b5/2pP4/8/5K2/8 b - d3 0 1; 6 1440467
5k2/8/8/8/8/8/8/4K2R w K - 0 1; 6 661072
3k4/8/8/8/8/8/8/R3K3 w Q - 0 1; 6 803711
r3k2r/1b4bq/8/8/8/8/7B/R3K2R w KQkq - 0 1; 4 1274206
r3k2r/8/3Q4/8/8/5q2/8/R3K2R b KQkq - 0 1; 4 1720476
2K2r2/4P3/8/8/8/8/8/3k4 w - - 0 1; 6 3821001
8/8/1P2K3/8/2n5/1q6/8/5k2 b - - 0 1; 5 1004658
4k3/1P6/8/8/8/8/K7/8 w - - 0 1; 6 217342
8/P1k5/K7/8/8/8/8/8 w - - 0 1; 6 92683
K1k5/8/P7/8/8/8/8/8 w - - 0 1; 6 2217
8/k1P5/8/1K6/8/8/8/8 w - - 0 1; 7 567584
8/8/2k5/5q2/5n2/8/5K2/8 b - - 0 1; 4 23527
